up_threshold,down_threshold,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
0.0025,0.01,689.9836034686863,769.1785984304049,4120.279512751015,2.951688460659877,94853123.62000002,246.02256212827135,629.3238552663445,"[np.float64(1259.8777445204119), np.float64(246.02256212827135), np.float64(279.3252706561728), np.float64(732.0698437605221)]",2.7711961905311706
0.003,0.0,560.6689231277766,686.864055491997,5152.391481640611,2.1078123294732407,100864252.66999994,11.532800212733195,537.3165777998845,"[np.float64(1590.83455940627), np.float64(37.7510315674669), np.float64(11.532800212733195), np.float64(509.1479200130678)]",2.0176340817734473
0.003,0.0005,567.8327311077143,693.207445779197,5150.246204386692,2.1281646863627772,100857640.75999993,11.532800212733195,541.8100176628124,"[np.float64(1590.83455940627), np.float64(37.7510315674669), np.float64(11.532800212733195), np.float64(527.1216794647792)]",2.0304076171663494
0.003,0.001,528.120289455736,657.2512627839996,5138.663975475837,2.0223262265624586,99764434.87999992,0.09011523789021293,519.6372502733307,"[np.float64(1590.83455940627), np.float64(21.056369007615952), np.float64(0.09011523789021293), np.float64(466.5679574415463)]",1.8956533777384028
0.003,0.0015,602.9527426444415,722.3755687319999,5083.175314579542,2.2469735764381977,99748930.12999994,38.179015556294516,559.1988098570575,"[np.float64(1604.4987828357816), np.float64(127.54948359460778), np.float64(38.179015556294516), np.float64(466.5679574415463)]",2.141853710278049
0.003,0.002,572.8904196418217,694.9718003511997,5072.547510562101,2.166262409688171,99724438.56999993,9.713603345835478,533.1132332286261,"[np.float64(1604.4987828357816), np.float64(127.54948359460778), np.float64(9.713603345835478), np.float64(390.6910631382792)]",2.0378257759837037
0.003,0.0025,552.3911409061784,676.3364036719995,5065.524054669037,2.111097960456064,99709492.37999994,9.713603345835478,521.1324556437463,"[np.float64(1556.5756724962625), np.float64(127.54948359460778), np.float64(9.713603345835478), np.float64(390.6910631382792)]",2.0031369105182795
0.003,0.003,525.3114017759327,651.8926506832,5059.671997426979,2.0371533640241504,99658429.97999994,0.23248740365494605,506.7004460916688,"[np.float64(1575.587113105169), np.float64(124.28386990689948), np.float64(0.23248740365494605), np.float64(326.69831395095184)]",1.9153116566509898
0.003,0.004,537.1490930154463,653.4864138904028,4808.600231677599,2.148759917964959,98499382.96999995,146.99250388125708,535.92641351917,"[np.float64(1311.403017994503), np.float64(156.21991037822602), np.float64(146.99250388125708), np.float64(529.0902218226939)]",2.172338582298145
0.003,0.005,584.0040766463059,691.0242708352022,4677.224691234217,2.3360120141242073,98409130.99999996,61.63280033179637,542.0959644120891,"[np.float64(1249.6493673419498), np.float64(61.63280033179637), np.float64(132.2479326662199), np.float64(724.8537573083905)]",2.226956592310096
0.003,0.0075,607.9227623983367,701.1461268384047,4341.2693041884495,2.553652604867778,98217478.04,93.84910013034855,557.3897387925651,"[np.float64(1281.9223810446308), np.float64(239.07675909484297), np.float64(93.84910013034855), np.float64(614.7107149004383)]",2.4253554055459023
0.003,0.01,549.0471789427222,637.3941297680051,4042.6767243783243,2.492924063323151,92677977.02000003,96.76630024060954,482.610205247207,"[np.float64(1130.409210544599), np.float64(130.98345141117053), np.float64(96.76630024060954), np.float64(572.2818587924487)]",2.2598736428507555
0.004,0.0,542.9583898273279,670.1871220887979,5129.5044218906405,2.0658114215376795,98660261.04999998,3.9963300223686375,537.8467398811908,"[np.float64(1607.5092626086484), np.float64(5.978979252304548), np.float64(3.9963300223686375), np.float64(533.9023876414415)]",1.9616085519219542
0.004,0.0005,550.1321161494901,676.5305123759979,5127.370200844402,2.0862325538309694,98653649.13999997,3.9963300223686375,542.330580399402,"[np.float64(1607.5092626086484), np.float64(5.978979252304548), np.float64(3.9963300223686375), np.float64(551.8377497142864)]",1.9744557328864882
0.004,0.001,510.3754889235109,640.5743293808005,5115.618964096357,1.9798912953596708,97560443.25999996,-13.889555712000085,521.6051515918687,"[np.float64(1607.5092626086484), np.float64(1.4061982325777145), -13.889555712000085, np.float64(491.39470123824844)]",1.8384038901772124
0.004,0.0015,585.3240807494881,705.6986353287999,5060.092228324146,2.20511299855365,97544938.50999996,21.229634973909427,547.8055027720366,"[np.float64(1621.1644108598814), np.float64(57.43326401610679), np.float64(21.229634973909427), np.float64(491.39470123824844)]",2.084677464586553
0.004,0.002,555.2233950417602,678.2948669479997,5049.3253317314375,2.1240032715628434,97520446.94999997,2.970454010096548,524.282058780559,"[np.float64(1621.1644108598814), np.float64(57.43326401610679), np.float64(2.970454010096548), np.float64(415.5601062361517)]",1.9798071649846989
0.004,0.0025,534.699325379934,659.6594702688004,5042.2078938345,2.068564456356789,97505500.75999998,2.970454010096548,512.3080652109404,"[np.float64(1573.2684365814068), np.float64(57.43326401610679), np.float64(2.970454010096548), np.float64(415.5601062361517)]",1.9450367986726014
0.004,0.003,507.5884586331374,635.215717280001,5036.247802092506,1.9942708848716453,97454438.35999998,-6.58751820799674,498.031151142865,"[np.float64(1592.2665994032), np.float64(55.00876735265787), -6.58751820799674, np.float64(351.4367560235987)]",1.8563042027848775
0.004,0.004,519.5009280191679,636.8094804872028,4784.661285394651,2.1044001589780374,96295391.35,78.6252921561816,518.746337980744,"[np.float64(1328.2369974262251), np.float64(78.6252921561816), np.float64(114.44026760196373), np.float64(553.6827947386054)]",2.1132807387671937
