day,daily_pl,cumulative_pl
364,2257.5293200000015,234270.90437099998
365,2730.984371999977,237001.88874299996
366,-72.50385899998946,236929.38488399997
367,-409.1969669999962,236520.18791699997
368,1080.8503690000216,237601.038286
369,397.2467839999881,237998.28506999998
370,-178.33847599997534,237819.946594
371,-707.269231000013,237112.677363
372,-149.17341499999748,236963.503948
373,289.7091739999887,237253.213122
374,-753.6300679999986,236499.583054
375,1410.1543749999837,237909.73742899997
376,1279.7924490000296,239189.529878
377,57.33684600002016,239246.86672400002
378,1530.104845999973,240776.97157
379,3526.0252570000303,244302.99682700002
380,911.5309900000284,245214.52781700005
381,-79.68071399998735,245134.84710300007
382,2636.425772000017,247771.27287500008
383,1932.4964679999975,249703.76934300008
384,1773.6761329999717,251477.44547600005
385,8.166494000004604,251485.61197000006
386,169.843624000001,251655.45559400006
387,-209.26772899995558,251446.1878650001
388,-247.8718949999893,251198.3159700001
389,-440.3660590000218,250757.9499110001
390,1078.4938679999905,251836.44377900008
391,200.43236799997976,252036.87614700006
392,391.6287939999893,252428.50494100005
393,3502.242232999997,255930.74717400005
394,-298.9276100000425,255631.819564
395,-608.2269409999717,255023.59262300003
396,-57.921572000021115,254965.671051
397,705.1087530000077,255670.77980400002
398,847.5535720000044,256518.33337600002
399,125.66623599999002,256643.999612
400,1237.553527000011,257881.55313900003
401,-1378.5563559999864,256502.99678300004
402,124.67111699996167,256627.6679
403,-1665.7289330000058,254961.938967
404,-25.486259999976028,254936.45270700002
405,576.6626099999703,255513.115317
406,685.9375679999939,256199.05288499998
407,1295.6647590000357,257494.71764400002
408,-399.5855280000251,257095.132116
409,1466.886198000022,258562.01831400002
410,-213.92658300002222,258348.091731
411,2193.3693360000034,260541.461067
412,-192.6175949999597,260348.84347200004
413,-732.5172260000254,259616.326246
414,-783.7197149999847,258832.60653100003
415,603.6337289999938,259436.24026000002
416,1302.8653979999654,260739.105658
417,-462.1249179999577,260276.98074000003
418,530.4513119999901,260807.43205200002
419,334.74868499999866,261142.18073700002
420,1399.9204729999765,262542.10121
421,1720.171626000083,264262.2728360001
422,3085.5396279999404,267347.812464
423,219.10566300002392,267566.91812700004
424,8.321199999947567,267575.239327
425,554.6039609999862,268129.843288
426,1113.5044240000425,269243.347712
427,-208.26425200002268,269035.08346
428,1008.9147259999881,270043.998186
429,-152.5911269999924,269891.407059
430,3091.6760520000244,272983.083111
431,-227.9188960000174,272755.164215
432,1239.7209370000055,273994.885152
433,-1661.4866150000016,272333.398537
434,319.1087739999639,272652.50731099996
435,2074.291399000038,274726.79871
436,3023.456424999982,277750.255135
437,-253.0787180000334,277497.17641699995
438,448.7016220000223,277945.878039
439,-1033.9204100000206,276911.95762899995
440,1114.674071000074,278026.6317
441,1320.3697829999728,279347.001483
442,795.7517579999403,280142.75324099994
443,1752.949087999994,281895.70232899993
444,2653.4607099999557,284549.1630389999
445,670.7854950000183,285219.9485339999
446,764.9600319999736,285984.9085659999
447,1425.3873289999901,287410.2958949999
448,586.6064080000506,287996.9023029999
449,1257.8131389999762,289254.7154419999
450,-409.4405399999232,288845.274902
451,-163.4121940000332,288681.86270799994
452,1255.508753000002,289937.37146099994
453,741.1723899999633,290678.5438509999
454,1956.6714670000365,292635.21531799994
455,1070.085206000018,293705.30052399996
456,-1082.311439000012,292622.98908499995
457,1141.6998709999607,293764.6889559999
458,-2155.8792219999596,291608.80973399995
459,-1217.1404430000694,290391.6692909999
460,314.3129980000667,290705.98228899995
461,102.86631399998441,290808.84860299993
462,3009.4644180000178,293818.31302099995
463,228.6820889999508,294046.9951099999
464,1620.414795000048,295667.40990499995
465,411.79089100001147,296079.20079599996
466,1764.110719999997,297843.31151599996
467,133.43457599997055,297976.7460919999
468,56.25013900001068,298032.99623099994
469,-907.5049490000238,297125.4912819999
470,1518.9838250000612,298644.475107
471,493.7035199999809,299138.17862699996
472,1067.2147729999851,300205.39339999994
473,-773.3327259999933,299432.06067399995
474,-664.2116529999766,298767.849021
475,-595.2012129999348,298172.64780800004
476,246.84725899994373,298419.495067
477,188.734567000065,298608.22963400005
478,2797.8305099999416,301406.060144
479,-799.6281910000253,300606.43195299996
480,1331.0681910000276,301937.500144
481,1224.980681999994,303162.480826
482,3266.0119310000446,306428.492757
483,799.6562450000201,307228.14900200005
484,-1063.430365999986,306164.71863600006
485,224.70822700002464,306389.4268630001
486,898.0988240000443,307287.52568700013
487,410.82406099996297,307698.3497480001
488,157.19368600007147,307855.54343400017
489,1061.959297000023,308917.5027310002
490,593.6729030000279,309511.1756340002
491,1563.1152299999958,311074.2908640002
492,1349.684767000028,312423.97563100024
493,-2054.608263000031,310369.3673680002
494,-1535.1199030000134,308834.2474650002
495,-37.08070399996359,308797.16676100023
496,-2224.274564000021,306572.8921970002
497,1848.724394000019,308421.61659100023
498,1114.7518770000315,309536.36846800026
499,618.8470099999686,310155.21547800023
500,1135.624504000065,311290.8399820003
