asset_idx,asset,variant,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,full_q05,full_q95,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_mean_std,roll_mean_worst_day
19,SPLZ,gate20,1.2382021320001273,162.2786511155552,0.12064245400982193,0.017763005398392935,-655.1835679999986,-303.83009909999953,278.0544412500011,1.4972875368197078,1.649569802718503,-9.760161560000052,3,158.42650129562125,-536.5122595333338
19,SPLZ,gate20_loose,9.311675684000054,203.01128539560995,0.7252331794477482,3.2095128663199475,-655.1835679999995,-323.7263423999996,357.44881505000035,5.513235089490104,5.7561713598030435,-8.03384741999995,3,208.7124626837684,-577.5692526000008
20,NWIG,raw,23.218873567999946,173.61466675409744,2.114583017411673,18.975240626877987,-444.38472399999955,-288.36901149999846,342.3042641999986,4.660547698391521,8.868368657353331,-20.944734219999972,6,174.8046376355782,-458.1250606666657
20,NWIG,gate20,13.633647343999975,158.7062452967341,1.3582760508868355,8.841359015877918,-444.38472399999955,-284.34698529999883,312.24773309999875,4.516374093225561,1.8220408622395645,-12.65989488999998,5,132.45026956370288,-432.86721846666563
20,NWIG,gate20_loose,23.218873567999946,173.61466675409744,2.114583017411673,18.975240626877987,-444.38472399999955,-288.36901149999846,342.3042641999986,4.660547698391521,8.868368657353331,-20.944734219999972,6,174.8046376355782,-458.1250606666657
21,MMBT,raw,30.66421317999992,327.37581172729944,1.4810006242386724,21.06172995776065,-1180.3477700000003,-617.9906160000004,515.0632462000002,8.742504016549535,15.677733988057248,-56.66777911999994,4,342.26513662274397,-1020.2266410666671
21,MMBT,gate20,26.25365704400001,287.6683356958717,1.4430047187351054,17.735999629541915,-1180.3477700000003,-497.98359075000104,481.7019131500007,9.828593556086892,10.629381156588757,-12.74683606999994,4,243.55215622809754,-915.6987516
21,MMBT,gate20_loose,30.66421317999992,327.37581172729944,1.4810006242386724,21.06172995776065,-1180.3477700000003,-617.9906160000004,515.0632462000002,8.742504016549535,15.677733988057248,-56.66777911999994,4,342.26513662274397,-1020.2266410666671
22,MDGI,raw,19.38880634400002,190.87522723877547,1.606096035769559,13.972249440355956,-593.1423959999993,-281.5023658499995,348.34202409999915,6.243240287892637,1.3662973153640938,-27.40600147999994,4,186.30940285182163,-493.88541666666697
22,MDGI,gate20,17.962654043999997,162.8126509818591,1.7444252414698254,13.51977307700009,-593.1423960000011,-248.19429270000137,318.1850284000012,2.649078790883522,-1.340529740000019,-20.07558119000016,8,142.3149755659254,-467.85138253333423
22,MDGI,gate20_loose,19.38880634400002,190.87522723877547,1.606096035769559,13.972249440355956,-593.1423959999993,-281.5023658499995,348.34202409999915,6.243240287892637,1.3662973153640938,-27.40600147999994,4,186.30940285182163,-493.88541666666697
23,AGVF,raw,7.575784343999941,163.56391277521894,0.7323355495355326,2.6446454935534924,-445.0893990000004,-231.8723568999995,284.6903890999997,3.7646882928864653,3.065601942880711,-21.854035060000044,2,164.77959352706017,-421.06094253333396
23,AGVF,gate20,4.789732699999928,115.09034917990913,0.6580249700915759,1.4472740879308161,-407.0725999999995,-202.62075420000082,224.9228578999999,1.4786487627412284,0.9011459488026696,-7.3050887900001,5,120.44663191624467,-398.2565534666667
23,AGVF,gate20_loose,7.575784343999941,163.56391277521894,0.7323355495355326,2.6446454935534924,-445.0893990000004,-231.8723568999995,284.6903890999997,3.7646882928864653,3.065601942880711,-21.854035060000044,2,164.77959352706017,-421.06094253333396
24,RRES,raw,25.104539031999995,205.77624460349972,1.928976862773608,19.78685301656602,-561.1259520000003,-332.0527077000011,354.19030109999915,9.668799081638126,10.652192811121363,-10.078933740000027,1,214.06746877369633,-549.1083591333332
24,RRES,gate20,21.41618501999992,178.8222104652564,1.893610510645617,16.746036245851844,-468.01992600000085,-284.35829314999927,335.3875190999999,8.614159887045696,5.08409453092203,-16.647367469999963,3,160.03776493157085,-467.82993439999916
24,RRES,gate20_loose,25.104539031999995,205.77624460349972,1.928976862773608,19.78685301656602,-561.1259520000003,-332.0527077000011,354.19030109999915,9.668799081638126,10.652192811121363,-10.078933740000027,1,214.06746877369633,-549.1083591333332
25,CTGI,raw,9.24368433599999,264.01882624326174,0.5535797747704588,2.168265970206611,-850.4530279999999,-490.7518470999988,447.01886609999866,-3.6262979630614223,-2.6325194599999486,-46.958974029999965,8,263.24612637020084,-761.1934185999997
25,CTGI,gate20,-1.56739643600001,204.26076874294495,-0.12132879859147119,-1.56739643600001,-708.1889740000006,-424.00984619999934,368.5055230000004,-6.4085634078015214,-8.187750239999877,-18.766637469999957,10,183.3917584517091,-633.7100566666669
25,CTGI,gate20_loose,9.24368433599999,264.01882624326174,0.5535797747704588,2.168265970206611,-850.4530279999999,-490.7518470999988,447.01886609999866,-3.6262979630614223,-2.6325194599999486,-46.958974029999965,8,263.24612637020084,-761.1934185999997
26,ALUT,raw,22.112477671999923,173.75084254814925,2.012243311388831,17.73300879386938,-583.6965220000002,-231.65264660000156,298.2151497000007,11.527687654152098,8.760795668528129,-25.146011620000092,6,174.27455545114202,-461.6173449333334
26,ALUT,gate20,31.80649217999992,147.79867415384578,3.402634030547454,29.277735727186684,-469.7493749999994,-178.72123809999962,294.3267512999985,15.431908514555294,7.498868604895582,-12.615322079999927,5,127.67012512197765,-403.5987469999999
