kind,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe,low_scale,mid_cut,mid_scale,high_cut,high_scale,cap_move,min_scale,max_scale,b
tier,496.5786776954435,560.5615348616024,3181.4937832476458,2.785878803498767,73229876.70999998,141.4160430565902,458.2771740737723,"[np.float64(981.5884540057652), np.float64(197.60771626551798), np.float64(141.4160430565902), np.float64(512.4964829672156)]",2.685193092257135,0.25,0.003,0.5,0.005,0.75,,,,
tier,639.9640570526153,725.9624304831988,4207.765005042579,2.7279265516104183,97018445.47999997,169.79889548039864,584.0676456135768,"[np.float64(1279.6994622121456), np.float64(208.81603064025904), np.float64(169.79889548039864), np.float64(677.956194121504)]",2.6151579174438626,0.25,0.003,0.5,0.005,1.0,,,,
tier,639.9640570526153,725.9624304831988,4207.765005042579,2.7279265516104183,97018445.47999997,169.79889548039864,584.0676456135768,"[np.float64(1279.6994622121456), np.float64(208.81603064025904), np.float64(169.79889548039864), np.float64(677.956194121504)]",2.6151579174438626,0.25,0.003,0.5,0.005,1.25,,,,
tier,482.6553477708648,545.8833357175998,3123.9635700131153,2.7628918182146314,71811148.44999999,113.91824606637243,442.3330267884626,"[np.float64(961.6344612621181), np.float64(199.12787882664935), np.float64(113.91824606637243), np.float64(494.65152099871057)]",2.6388270757208825,0.25,0.003,0.5,0.0075,0.75,,,,
tier,611.696953328104,696.5911163551984,4103.162271073283,2.684288824075188,94226609.23999996,116.40481237145666,552.3353792338537,"[np.float64(1239.790287201716), np.float64(211.7369477948988), np.float64(116.40481237145666), np.float64(641.4094695673433)]",2.538466162248432,0.25,0.003,0.5,0.0075,1.0,,,,
tier,611.696953328104,696.5911163551984,4103.162271073283,2.684288824075188,94226609.23999996,116.40481237145666,552.3353792338537,"[np.float64(1239.790287201716), np.float64(211.7369477948988), np.float64(116.40481237145666), np.float64(641.4094695673433)]",2.538466162248432,0.25,0.003,0.5,0.0075,1.25,,,,
tier,429.18373758413213,489.64641129040064,2905.8595894638843,2.6642682829883793,67927410.46999995,91.93156253828761,386.89662395913786,"[np.float64(864.6840793904543), np.float64(150.91801235017732), np.float64(91.93156253828761), np.float64(440.0528415576324)]",2.4927949737274058,0.25,0.003,0.5,0.01,0.75,,,,
tier,503.3387339493906,584.0806273855995,3698.8106111930438,2.4967824983108,86515811.91999994,72.65770221055666,441.52074157863694,"[np.float64(1044.8652594023297), np.float64(117.06913670244899), np.float64(72.65770221055666), np.float64(531.4908679992124)]",2.272190533345978,0.25,0.003,0.5,0.01,1.0,,,,
tier,503.3387339493906,584.0806273855995,3698.8106111930438,2.4967824983108,86515811.91999994,72.65770221055666,441.52074157863694,"[np.float64(1044.8652594023297), np.float64(117.06913670244899), np.float64(72.65770221055666), np.float64(531.4908679992124)]",2.272190533345978,0.25,0.003,0.5,0.01,1.25,,,,
tier,391.7372288646171,452.58564999520013,2820.3176001789066,2.537305532897817,64656636.26,123.9155923438688,360.77127285790334,"[np.float64(761.3958968405756), np.float64(134.6050143530878), np.float64(123.9155923438688), np.float64(423.1685878940814)]",2.426170244773786,0.25,0.003,0.5,0.0125,0.75,,,,
tier,427.6683705530271,509.91893818559777,3535.7946313601033,2.2802586615456497,79979013.83999997,87.05805677301618,388.46961951924874,"[np.float64(837.3155122126174), np.float64(87.05805677301618), np.float64(132.34110514829823), np.float64(497.1638039430631)]",2.151122653270827,0.25,0.003,0.5,0.0125,1.0,,,,
tier,427.6683705530271,509.91893818559777,3535.7946313601033,2.2802586615456497,79979013.83999997,87.05805677301618,388.46961951924874,"[np.float64(837.3155122126174), np.float64(87.05805677301618), np.float64(132.34110514829823), np.float64(497.1638039430631)]",2.151122653270827,0.25,0.003,0.5,0.0125,1.25,,,,
tier,334.4734848653584,395.1086772760006,2659.9171183797257,2.3486508937723336,60627651.24999997,79.5963736449065,317.26138593772896,"[np.float64(739.190232952852), np.float64(137.39007303575858), np.float64(79.5963736449065), np.float64(312.8688641173986)]",2.2758089811855937,0.25,0.003,0.5,0.015,0.75,,,,
