adds,removes,excluded,n_active,full_score,full_mean,full_std,full_sharpe,test_score,test_mean,test_std,test_sharpe,cv_mean_score,cv_min_score,cv_mean_sharpe
"AENO,FWWG,DIHO","SMAH,CCNS,HRND","5,10,18,32,34,38",45,812.9809869985476,889.8796290872032,4327.333934614396,3.2514782933572506,789.4740329087039,864.9508454619977,4228.626065988983,3.234164824536833,774.0201638572869,344.273170724608,3.1420231073524953
"AENO,FWWG,DIHO","FARS,EORC,LSST","2,5,13,18,34,48",45,801.7021689638789,879.1110527792024,4319.193073658961,3.2181858921343998,774.4829747134485,850.9852440219931,4228.859489261238,3.181769970292628,784.0915203764665,443.32948900552674,3.175535823084667
"AENO,FWWG,DIHO","FARS,EORC,HETT","5,7,13,18,34,48",45,804.9680946661166,883.0268535152069,4347.758397080903,3.211282501431915,771.1460162981953,848.9322218220052,4263.104768800056,3.1485965577389057,783.8680862098,432.95747974778504,3.158468548915473
"AENO,FWWG,DIHO","FARS,EORC,ITPA","5,13,18,34,43,48",45,805.5001840029544,883.0103348111985,4330.940925157719,3.223691922523241,763.0843007900801,840.0260194719955,4217.522662252074,3.149236800920942,782.1013400909917,411.5728817314529,3.1652676363863907
"AENO,FWWG,DIHO","FARS,EORC,NPCK","5,11,13,18,34,48",45,800.0746770159357,877.728448443199,4323.606818995433,3.209844442852324,764.2661605036827,841.6599350319954,4234.843419138466,3.1424566938910754,781.5680016640304,438.4076529099542,3.169147309795971
"AENO,FWWG,DIHO","FARS,EORC,CCNS","5,13,18,32,34,48",45,806.516460778566,884.5117366552068,4349.117446052922,3.2156773640592338,764.2696411050367,841.6477113820018,4234.342604157932,3.142782722425026,779.7263838717386,401.24082922809623,3.151461132944654
"AENO,FWWG,DIHO","FARS,EORC,HRND","5,13,18,34,38,48",45,805.6450573370606,883.0040812072032,4326.297018274102,3.227129422742435,762.917714940251,840.1800507920015,4227.53719263546,3.142352726981417,779.1342593484192,388.0686828324878,3.155279718465744
"AENO,FWWG,DIHO","FARS,LSST,HETT","2,5,7,18,34,48",45,806.2977961474243,884.6160475591985,4359.217845090332,3.208604920001347,797.4963340395956,874.0286709219986,4281.0847268691305,3.228061947777222,782.8336828119262,437.17984193185407,3.1443288490324215
"AENO,FWWG,DIHO","FARS,LSST,ITPA","2,5,18,34,43,48",45,806.8441489138623,884.599528855206,4341.972864960672,3.2212883581892546,789.3912155756673,865.1224685720064,4236.810330978782,3.228557855979082,781.0987312315942,415.8103741635132,3.151539397762793
"AENO,FWWG,DIHO","FARS,LSST,NPCK","2,5,11,18,34,48",45,801.4405238934881,879.317642487199,4333.961802487748,3.207973055315196,790.6570936241915,866.7563841319852,4251.706445803054,3.223322665014328,780.5672954583193,442.64903537654806,3.155607263795647
"AENO,FWWG,DIHO","FARS,LSST,CCNS","2,5,18,32,34,48",45,807.8845747109317,886.1009306992022,4359.406108718686,3.2138519650651305,790.6443230224793,866.7441604819987,4251.696100627044,3.223285050134925,778.7465122494743,405.53095467644096,3.138000100875077
"AENO,FWWG,DIHO","FARS,LSST,HRND","2,5,18,34,38,48",45,807.0118683154224,884.5932752512036,4336.6313256151425,3.22523330048729,789.2293282759057,865.2764998919924,4246.829627506369,3.221514383052597,778.1593422534777,392.3693819430684,3.142118650506377
