mname,abs_cap,gate,gate_th,max_scale,full_score,full_mean,full_std,full_sharpe,full_worst,full_q05,test_score,train_score,roll_mean,roll_median,roll_min,roll_neg_count
algo0.25,0.0125,40,-250.0,1.5,544.0607381476673,595.6736134272007,2900.9062955020304,3.246718729614501,-10638.424466200115,-3393.3940034900265,356.31384913087015,666.1781393071752,327.59152679970134,303.7584705430113,-139.6149828140075,1
algo0.25,0.0125,40,-500.0,1.5,544.0607381476673,595.6736134272007,2900.9062955020304,3.246718729614501,-10638.424466200115,-3393.3940034900265,356.31384913087015,666.1781393071752,402.93170584383773,345.4815710924421,-49.454301384007415,1
algo0.25,0.015,0,0.0,0.75,521.2618795118335,557.763789605599,2333.727442897678,3.7789416602364896,-7613.302616400004,-3193.169162570007,554.6197437208549,499.3027800499165,370.68577879876625,296.7360556130545,39.3419360575247,0
algo0.25,0.015,0,0.0,1.0,692.1593313951674,740.4913152496005,3093.885559293612,3.784301485762048,-10129.211275399895,-4063.6406311899477,736.7789031925998,662.8197283745324,492.8121537106965,394.0387510382134,51.72331909307432,0
algo0.25,0.015,0,0.0,1.25,742.7246785120842,791.9252479600009,3222.7404566581927,3.885338508990615,-10527.46152219997,-4255.756601489955,785.1153673275221,714.7603445606461,516.7054724959384,456.3464629660619,48.73704699760874,0
algo0.25,0.015,0,0.0,1.5,763.4873585157982,813.1652334784025,3279.6642538968877,3.9203010625233388,-10638.424466200115,-4417.409427879995,805.3311027730423,735.8775565369701,530.756937747012,479.87623828638027,53.76608929802449,0
algo0.25,0.015,20,0.0,0.75,453.98482908937365,490.6763010616004,2205.601174790343,3.517532369306631,-7613.302616400004,-2257.938506720017,491.9213057042687,429.62588871667987,255.24446322487353,178.87848576550937,-60.84686122599848,1
algo0.25,0.015,20,0.0,1.0,600.5904758269734,649.5648877047998,2932.837087816486,3.5019069789995787,-10129.211275399895,-2995.8702179899724,651.8141462731644,567.6921538046072,335.97144633086003,231.8122294507176,-81.90416333399673,1
algo0.25,0.015,20,0.0,1.25,638.0955722922647,687.8290216135994,3036.2108333462347,3.58194221095469,-10527.46152219997,-3199.713066210009,699.481787730864,598.4862352448255,352.53573781143984,261.8397463529127,-115.26091378600448,1
algo0.25,0.015,20,0.0,1.5,663.3519686229728,713.1120244768045,3088.13432275715,3.6511660253610385,-10638.424466200115,-3228.2955159299418,718.2776013636416,627.9911035943853,365.2895308616434,298.42129302950406,-145.54499257000276,1
algo0.25,0.015,20,-250.0,0.75,475.2614598334971,512.6144481312001,2272.255817965791,3.5670042184247612,-7613.302616400004,-2923.431792699944,568.1557977497259,414.22583246957424,238.16422766166048,177.7004772592091,-94.73694051999922,3
algo0.25,0.015,20,-250.0,1.0,613.5241574130231,663.2707061983999,2986.2520821998182,3.5118370437605924,-10129.211275399895,-3424.959571390031,754.7276701690911,520.8063777365951,303.67934885406396,190.7224599994952,-126.95708262399614,3
algo0.25,0.015,20,-250.0,1.25,684.9210567134389,734.6957677472016,3131.5666337852263,3.7095043552673332,-10527.46152219997,-3914.25331792001,804.2600917208913,606.5349576158984,343.04337154008147,271.43866289026585,-133.32839705600517,3
algo0.25,0.015,20,-250.0,1.5,704.0472760209492,754.3247538448011,3187.235795938611,3.7420894943434098,-10638.424466200115,-4019.8255697000413,824.5153626818366,624.9130648061506,354.2237732861246,274.78979362371877,-135.35790982200646,3
algo0.25,0.015,40,0.0,0.75,527.6288353138577,562.9718786871989,2303.79810584205,3.8637791019123457,-7613.302616400004,-2935.780211860002,519.8048691229404,532.7764082768941,290.6427923254309,313.92089252341157,-116.11246092200021,1
algo0.25,0.015,40,0.0,1.0,696.5759207096903,743.7393770560008,3059.9150064718215,3.8430976221191924,-10129.211275399895,-3881.335298919968,690.3927447952273,700.6702240514313,382.23745295410487,406.27187492784117,-155.37469727399835,1
algo0.25,0.015,40,0.0,1.25,767.5750779491838,814.8193776024009,3196.2859662523906,4.030748722220105,-10527.46152219997,-3977.583270209992,786.9860788692289,754.8040564775113,426.36783637516305,461.15076582014103,-162.43671617800715,1
algo0.25,0.015,40,0.0,1.5,789.6420112905718,837.2739821280034,3251.4101186618127,4.071606952821624,-10638.424466200115,-4019.8255697000413,807.1420913239159,778.123454896678,439.44299235319045,483.08036672313057,-164.79238081200623,1
algo0.25,0.015,40,-250.0,0.75,521.2618795118335,557.763789605599,2333.727442897678,3.7789416602364896,-7613.302616400004,-3193.169162570007,554.6197437208549,499.3027800499165,307.24601068584906,296.7360556130545,12.153157441380577,0
algo0.25,0.015,40,-250.0,1.0,709.1069498023711,756.1712482096003,3080.208309651116,3.881593718811996,-10129.211275399895,-3881.335298919968,736.7789031925998,690.962346990109,404.7573027213968,422.4987882736538,0.0007179219721702222,0
algo0.25,0.015,40,-250.0,1.25,742.7246785120842,791.9252479600009,3222.7404566581927,3.885338508990615,-10527.46152219997,-4255.756601489955,785.1153673275221,714.7603445606461,423.7816212391815,429.2866334016842,-2.9435635080040266,1
algo0.25,0.015,40,-250.0,1.5,763.4873585157982,813.1652334784025,3279.6642538968877,3.9203010625233388,-10638.424466200115,-4417.409427879995,805.3311027730423,735.8775565369701,436.3585919189803,434.2602646738392,-3.3412352200048554,1
algo0.25,0.015,40,-500.0,0.75,521.2618795118335,557.763789605599,2333.727442897678,3.7789416602364896,-7613.302616400004,-3193.169162570007,554.6197437208549,499.3027800499165,323.74903378175173,296.7360556130545,3.9055942969504454,0
algo0.25,0.015,40,-500.0,1.0,692.1593313951674,740.4913152496005,3093.885559293612,3.784301485762048,-10129.211275399895,-4063.6406311899477,736.7789031925998,662.8197283745324,457.32098045963943,394.0387510382134,16.050010392171913,0
algo0.25,0.015,40,-500.0,1.25,742.7246785120842,791.9252479600009,3222.7404566581927,3.885338508990615,-10527.46152219997,-4255.756601489955,785.1153673275221,714.7603445606461,496.27539469917247,456.3464629660619,13.615698212511864,0
algo0.25,0.015,40,-500.0,1.5,763.4873585157982,813.1652334784025,3279.6642538968877,3.9203010625233388,-10638.424466200115,-4417.409427879995,805.3311027730423,735.8775565369701,510.2785579329145,479.87623828638027,13.613075791350871,0
algo0.25,0.0175,0,0.0,1.5,844.9401076814061,899.8188613440025,3625.8869024544465,3.923835960658506,-10638.424466200115,-4791.3462207001285,841.7835333920228,846.7690945927862,549.2009230175652,564.695780708145,105.07339483752995,0
algo0.25,0.0175,20,0.0,1.5,676.3389829179737,734.614174380006,3409.4863230117344,3.4067507131585817,-10638.424466200115,-4544.044784750067,690.1847557657786,667.5253490881635,393.99757402920915,309.26475017472137,0.02094074234633083,0
