vol_window,soft_cut,hard_cut,high_scale,full_score,full_mean,full_std,full_sharpe,full_dvolume,min_cv_score,avg_cv_score,cv_scores,avg_cv_sharpe
3,0.01,0.012,0.5,754.1506499803469,819.9673774192016,3830.0607797305174,3.385017456383598,88800776.82000002,392.1763419218762,739.4581093713005,"[np.float64(1335.8943390677903), np.float64(582.6658379829524), np.float64(392.1763419218762), np.float64(647.0959185125832)]",3.4989976561204488
3,0.01,0.012,0.75,781.8901003465361,848.8773067128039,3928.601732999548,3.4164645918335825,92310556.85000004,408.4865465694401,764.0658048037385,"[np.float64(1378.550511911837), np.float64(595.3414691124577), np.float64(408.4865465694401), np.float64(673.8846916212194)]",3.5023075046550316
3,0.01,999.0,0.25,725.8655709979805,792.5164182672007,3797.108534202148,3.300086028920456,86379426.86000006,362.2680097771942,712.7360971830915,"[np.float64(1303.1473671734714), np.float64(547.2131561974951), np.float64(362.2680097771942), np.float64(638.3158555842058)]",3.4194079737946415
3,0.01,999.0,0.5,754.734436883354,823.480169926397,3929.605384866653,3.313402606504053,90989595.40000002,366.0529536356547,736.8077115400663,"[np.float64(1357.0406264816475), np.float64(538.4728976018877), np.float64(366.0529536356547), np.float64(685.664368441075)]",3.3813142910729588
3,0.01,999.0,0.75,780.4544715057148,854.0174760400033,4145.650681707918,3.257197232983076,95597553.18000007,367.24607025831597,757.64613358462,"[np.float64(1407.496965331548), np.float64(524.8390292616153), np.float64(367.24607025831597), np.float64(731.0024694870006)]",3.264892747977421
5,0.004,0.006,0.25,96.67896244826831,109.70315816000054,636.6468593714907,2.724523345970526,8860886.479999999,82.7270147412386,99.0866465672033,"[np.float64(125.61606910859484), np.float64(82.7270147412386), np.float64(95.50301701256099), np.float64(92.50048540641878)]",2.8050836255426823
5,0.004,0.006,0.5,149.58181220426297,167.79042032080127,925.6272801061082,2.866163893256839,13462585.749999996,119.33649209970173,154.1826499273042,"[np.float64(211.3658053065505), np.float64(130.03882202858605), np.float64(119.33649209970173), np.float64(155.98948027437856)]",2.9344498002115964
5,0.004,0.006,0.75,200.43960831158947,225.8465082975994,1271.3568026655817,2.808768420946546,18061815.520000003,140.70614473664097,207.35123522702614,"[np.float64(295.30778688741924), np.float64(175.40876751644313), np.float64(140.70614473664097), np.float64(217.98224176760132)]",2.874039913130962
5,0.004,0.007,0.25,152.66720649150324,165.25987080479982,750.4527388891007,3.48188213918664,12873754.900000008,119.96107698742958,155.22193059532978,"[np.float64(173.59937949165578), np.float64(177.0128259770846), np.float64(150.31443992514917), np.float64(119.96107698742958)]",3.5749766085133023
5,0.004,0.007,0.5,259.51838055256576,279.54286909839993,1227.7645160305096,3.6000069983586194,21527765.309999995,209.35040543187,264.67794347352475,"[np.float64(305.57358603057065), np.float64(317.17240028448083), np.float64(226.61538214717754), np.float64(209.35040543187)]",3.7304201149807037
5,0.004,0.007,0.75,364.84368985322203,393.951689187999,1759.4046272165517,3.5403585014883334,30180162.069999993,297.50338817814423,372.67879614771135,"[np.float64(436.2073165001118), np.float64(456.3658353370649), np.float64(300.63864457552444), np.float64(297.50338817814423)]",3.684756113459029
5,0.004,0.008,0.25,201.24723193409378,214.03836931120009,853.2008152842662,3.966526646286474,16648390.930000003,116.79757075542454,199.7060638194068,"[np.float64(281.8962268624658), np.float64(219.7108714679814), np.float64(180.41958619175543), np.float64(116.79757075542454)]",4.05500373901316
5,0.004,0.008,0.5,355.8660021683177,377.65673293279826,1477.6102115690946,4.041172158986934,29113842.140000008,202.24212150260348,352.85040388992115,"[np.float64(521.1698211183864), np.float64(402.0581728442594), np.float64(285.9315000944356), np.float64(202.24212150260348)]",4.183758638363283
5,0.004,0.008,0.75,509.27759595780185,541.4470255911989,2151.643775427256,3.9788320277404403,41580834.389999986,286.53504519075886,504.7704207484862,"[np.float64(759.5439128993454), np.float64(583.6514712323733), np.float64(389.3512536714672), np.float64(286.53504519075886)]",4.133514522283523
5,0.004,0.01,0.25,200.59161248852746,218.76212712480023,1041.0446845742113,3.3225595296162167,22717894.340000007,82.89583715624464,197.52504639181475,"[np.float64(358.90036158881725), np.float64(198.00649582977465), np.float64(82.89583715624464), np.float64(150.29749099242247)]",3.386389015003677
5,0.004,0.01,0.5,353.0291917324943,387.14957740959807,1903.0511022490211,3.2166095233574024,41308662.21999999,86.39331960710739,346.6566165933739,"[np.float64(674.7727573235428), np.float64(356.3445879509222), np.float64(86.39331960710739), np.float64(269.1158014919234)]",3.2921838791326614
5,0.004,0.01,0.75,504.03448538874574,555.4855398136,2806.1428560543486,3.129918188785715,59904867.08999997,89.67828404639022,494.9983033296311,"[np.float64(989.985741295664), np.float64(513.849446783682), np.float64(89.67828404639022), np.float64(386.47974119278825)]",3.206016449048239
5,0.004,0.012,0.25,198.32015991772002,219.6251162072008,1138.1746286535,3.0510063267512444,25978477.85,97.6748267385928,192.98847419338037,"[np.float64(352.07161895867307), np.float64(177.4234567828633), np.float64(97.6748267385928), np.float64(144.78399429339234)]",3.0342735462669506
5,0.004,0.012,0.5,347.76960530243656,388.93644413279696,2115.8096423854513,2.906511540234315,47865624.26,114.55180166891105,336.81913806879413,"[np.float64(660.8424375208053), np.float64(314.65764754463424), np.float64(114.55180166891105), np.float64(257.22466554082564)]",2.88736412202923
5,0.004,0.012,0.75,495.3731930945725,557.8144854528006,3131.3346463321923,2.8166332971339942,69754856.71999997,129.8980013519153,479.12690668143864,"[np.float64(968.5603693460502), np.float64(450.0371123730263), np.float64(129.8980013519153), np.float64(368.01214365476284)]",2.795529461875244
5,0.004,999.0,0.25,238.3785162825092,258.8404732816003,1199.063594376272,3.4131861314311474,28154531.82000001,153.7695779782761,231.80735399905655,"[np.float64(397.01453667101345), np.float64(158.74157564927825), np.float64(153.7695779782761), np.float64(217.70372569765848)]",3.3777150008637915
5,0.004,999.0,0.5,428.1319441761093,467.7507328871977,2249.8121674045246,3.2872915227474055,52242061.51,226.75895364400805,414.54833964010555,"[np.float64(750.8145710138677), np.float64(276.3762499898654), np.float64(226.75895364400805), np.float64(404.24358391268106)]",3.2458275498041633
5,0.004,999.0,0.75,616.3045052434883,676.3054603664013,3336.5244278702107,3.2049303024760523,76329743.17999999,296.9942950530812,595.637158852852,"[np.float64(1103.835170213783), np.float64(392.34410487913283), np.float64(296.9942950530812), np.float64(589.3750652654114)]",3.1618472091991934
